proposal_label,augmentation_design_id,augmentation_design_index,intended_split,intended_region,adjacent_search_k,altitude_km,civilian_count,configured_satellite_count,duration_minutes,epoch_iso,government_count,ground_service_threshold,ground_station_failure_probability,inclination_deg,isl_policy,max_inter_plane_links_per_sat,max_isl_distance_km,military_count,minimum_elevation_deg,near_neighbor_control_status,num_planes,orbital_engine,phasing_factor,proposal_status,realizations_per_design,run_identity_template,satellite_edge_failure_probability,satellite_failure_model,satellite_node_failure_probability,sats_per_plane,seed_status,simulation_authorized,space_gcc_threshold,step_seconds,total_ground_station_count
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D000,0,train,resilient_core,1,1065.1955867602808,8,48,10,2000-01-01T12:00:00+00:00,6,0.80000000000000004,0.021113340020060184,78.934804413239718,grid_fixed,1,10000,6,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D000-R00..R04,0.030742226680040119,persistent_temporal_union_edges_v1,0.011273821464393178,8,NOT_ISSUED,False,0.80000000000000004,60,20
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D001,1,train,resilient_core,1,930.39117352056167,7,48,10,2000-01-01T12:00:00+00:00,11,0.80000000000000004,0.042226680040120368,92.869608826479435,grid_fixed,1,10000,7,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D001-R00..R04,0.011484453360080242,persistent_temporal_union_edges_v1,0.022547642928786357,8,NOT_ISSUED,False,0.80000000000000004,60,25
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D002,2,train,resilient_core,1,1145.5867602808426,9,48,10,2000-01-01T12:00:00+00:00,9,0.80000000000000004,0.013340020060180542,73.804413239719153,grid_fixed,1,10000,12,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D002-R00..R04,0.042226680040120368,persistent_temporal_union_edges_v1,0.03382146439317954,8,NOT_ISSUED,False,0.80000000000000004,60,30
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D003,3,train,resilient_core,1,1010.7823470411233,17,48,10,2000-01-01T12:00:00+00:00,11,0.80000000000000004,0.034453360080240726,87.739217652958871,grid_fixed,1,10000,7,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D003-R00..R04,0.022968906720160484,persistent_temporal_union_edges_v1,0.0050952858575727183,8,NOT_ISSUED,False,0.80000000000000004,60,35
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D004,4,train,resilient_core,1,875.97793380140422,4,48,10,2000-01-01T12:00:00+00:00,8,0.80000000000000004,0.0055667001003009029,68.674022066198589,grid_fixed,1,10000,8,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D004-R00..R04,0.003711133400200602,persistent_temporal_union_edges_v1,0.016369107321965896,8,NOT_ISSUED,False,0.80000000000000004,60,20
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D005,5,train,resilient_core,1,1091.1735205616851,10,48,10,2000-01-01T12:00:00+00:00,5,0.80000000000000004,0.026680040120361084,82.608826479438306,grid_fixed,1,10000,10,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D005-R00..R04,0.034453360080240726,persistent_temporal_union_edges_v1,0.027642928786359079,8,NOT_ISSUED,False,0.80000000000000004,60,25
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D006,6,train,resilient_core,1,956.36910732196588,12,48,10,2000-01-01T12:00:00+00:00,9,0.80000000000000004,0.047793380140421268,96.543630892678038,grid_fixed,1,10000,9,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D006-R00..R04,0.015195586760280844,persistent_temporal_union_edges_v1,0.038916750250752259,8,NOT_ISSUED,False,0.80000000000000004,60,30
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D007,7,train,resilient_core,1,1171.5646940822467,10,48,10,2000-01-01T12:00:00+00:00,14,0.80000000000000004,0.018906720160481446,77.478435305917756,grid_fixed,1,10000,11,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D007-R00..R04,0.045937813440320968,persistent_temporal_union_edges_v1,0.010190571715145437,8,NOT_ISSUED,False,0.80000000000000004,60,35
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D008,8,train,resilient_core,1,1036.7602808425277,6,48,10,2000-01-01T12:00:00+00:00,6,0.80000000000000004,0.040020060180541626,91.413239719157474,grid_fixed,1,10000,8,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D008-R00..R04,0.026680040120361084,persistent_temporal_union_edges_v1,0.021464393179538615,8,NOT_ISSUED,False,0.80000000000000004,60,20
PROPOSAL ONLY — NOT FROZEN — DO NOT SIMULATE,AUGV1-D009,9,train,resilient_core,1,901.95586760280844,13,48,10,2000-01-01T12:00:00+00:00,7,0.80000000000000004,0.011133400200601806,72.348044132397192,grid_fixed,1,10000,5,10,REQUIRES_PRE_FREEZE_CLUSTER_AUDIT,6,sgp4,1,NOT_FROZEN,5,AUGV1-D009-R00..R04,0.0074222668004012039,persistent_temporal_union_edges_v1,0.032738214643931791,8,NOT_ISSUED,False,0.80000000000000004,60,25
